,username,category_labels
72,bluebird,"['3D art', 'Digital art', 'Fashion', 'NFT art', 'Sculpture']"
73,geumat,"['3D art', 'Animation', 'Conceptual art', 'Digital art', 'Filmmaking', 'Graphic design', 'Illustration', 'Motion design', 'NFT art', 'Video editing']"
74,fameta_eth,"['3D art', 'Architecture', 'Illustration', 'NFT art']"
75,samaneh,"['3D art', 'Animation', 'Conceptual art', 'Digital art', 'Filmmaking', 'Illustration', 'Motion design', 'NFT art', 'Sculpture', 'Video art']"
76,mahankhoshhal,"['3D art', 'Animation', 'Architecture', 'Digital art', 'Motion design']"
77,mab369,['3D art']
78,raanaamiri,"['3D art', 'Architecture', 'Collage', 'Conceptual art', 'Illustration', 'NFT art']"
79,necrofear,['3D art']
80,booyasan,"['3D art', 'Digital art', 'Motion design', 'NFT art', 'Photography', 'Video art']"
81,glariix,"['3D art', 'Animation', 'Conceptual art', 'Digital art', 'Graphic design', 'Motion design', 'NFT art', 'Video art']"
82,miilad,"['3D art', 'Animation', 'Digital art', 'Fashion', 'Land art']"
83,nurart,"['3D art', 'Animation', 'Digital art', 'Drawing', 'Illustration', 'NFT art', 'Painting', 'Poetry', 'Video art']"
84,sadeg,"['3D art', 'Animation']"
85,farhamalipanah,"['3D art', 'Conceptual art', 'Digital art', 'Illustration', 'Modelling', 'NFT art', 'Photography', 'UI design', 'UX design']"
86,fatemehsaadati,"['3D art', 'Animation', 'Conceptual art', 'Digital art', 'NFT art']"
87,salyaku,"['3D art', 'Collage', 'Digital art', 'NFT art']"
88,jassbarbier,"['3D art', 'Collage', 'Digital art', 'Graphic design', 'Illustration', 'NFT art', 'Photography', 'Video art']"
89,farnaz,"['3D art', 'Architecture', 'Conceptual art', 'Digital art', 'Game design', 'NFT art']"
90,pablo_espinoza,"['3D art', 'Animation', 'Digital art', 'NFT art']"
91,saedd,"['3D art', 'Collage', 'Digital art', 'Fashion', 'NFT art', 'Tattoo art', 'Video art']"
92,yektaeian,"['3D art', 'Architecture', 'Conceptual art', 'Digital art', 'NFT art']"
93,miladjasbi,"['3D art', 'Animation', 'Digital art', 'Photography']"
94,zigor,"['3D art', 'Animation', 'NFT art']"
95,ehsan3dart,"['3D art', 'Animation', 'NFT art']"
96,alessiogarcai,"['3D art', 'Animation', 'Digital art', 'Modelling', 'NFT art']"
97,leafswan,['3D art']
98,mzk,"['3D art', 'Abstract art', 'Digital art', 'Drawing', 'Illustration', 'NFT art', 'Painting']"
99,ranksss,"['3D art', 'Animation', 'Architecture', 'Digital art']"
100,mahamaniac,"['3D art', 'Animation', 'Music composition', 'NFT art']"
101,brat,"['3D art', 'Digital art', 'Graphic design', 'Motion design', 'NFT art', 'Photography', 'Video art', 'Video editing', 'Videography']"
102,naksiela,"['3D art', 'Architecture', 'Conceptual art', 'NFT art']"
103,hasangoktepe,"['3D art', 'Architecture', 'Digital art', 'Modelling', 'NFT art']"
104,teto,"['3D art', 'NFT art', 'Video art']"
105,arash,"['3D art', 'Abstract art', 'Digital art', 'Game design', 'Graphic design', 'Installation art', 'NFT art', 'UI design', 'UX design', 'Video art']"
106,vivianeg,['3D art']
107,asnaei,"['3D art', 'Abstract art']"
108,fadd,"['3D art', 'Digital art', 'Drawing', 'Illustration']"
109,young6529,"['3D art', 'Architecture', 'Digital art']"
110,gydravlik,['3D art']
111,imcriterio,['3D art']
112,davidoxleyart,"['3D art', 'Animation', 'Digital art', 'Game design', 'Graphic design', 'Light installation', 'NFT art', 'Photography', 'Pop art', 'Virtual reality']"
113,fateme,"['3D art', 'Architecture']"
114,fapcobo,['3D art']
115,smileworld,['3D art']
116,serc,"['3D art', 'Abstract art', 'Calligraphy', 'Curator', 'Digital art', 'Graffiti', 'Graphic design', 'Illustration', 'Street art']"
117,gibbdesigner,"['3D art', 'Collage', 'Conceptual art', 'Digital art', 'NFT art']"
118,daving,"['3D art', 'Abstract art', 'Digital art', 'Illustration', 'Industrial design', 'Installation art', 'NFT art', 'Painting']"
119,amrit,"['3D art', 'Animation', 'Architecture', 'Curator', 'Digital art', 'Illustration', 'Motion design', 'NFT art', 'Pop art', 'Virtual reality']"
120,dnl,"['3D art', 'Abstract art', 'Animation', 'Digital art', 'NFT art']"
121,dvad33r,"['3D art', 'Animation', 'Digital art', 'NFT art']"
122,shootthismoment,"['3D art', 'Collage', 'Digital art', 'Photography']"
123,sourpower,"['3D art', 'Abstract art', 'NFT art', 'UI design', 'UX design', 'Writing']"
124,anemale,['3D art']
125,astro,"['3D art', 'Abstract art', 'Animation', 'Architecture', 'Digital art', 'Illustration', 'NFT art', 'Sculpture', 'Voice acting']"
126,purz,"['3D art', 'Abstract art', 'Graphic design', 'Motion design', 'Music production', 'NFT art', 'Sound engineering', 'Video art', 'Video editing', 'VJing']"
127,mangoscam,"['3D art', 'Abstract art', 'Digital art', 'Graffiti', 'Illustration', 'NFT art', 'Virtual reality']"
128,tarzan,"['3D art', 'Animation']"
129,web_horizons,"['3D art', 'Animation', 'Digital art']"
130,johnafonso,"['3D art', 'Animation']"
131,sheva_artist,"['3D art', 'Conceptual art', 'Digital art', 'Eco art', 'Graffiti', 'Motion design', 'NFT art', 'Painting']"
132,browntopink,"['3D art', 'Modelling', 'NFT art', 'Nude art']"
133,conte74,"['3D art', 'Animation', 'Digital art', 'Illustration', 'NFT art']"
134,gart3,"['3D art', 'Architecture', 'Conceptual art', 'Curator']"
135,amin_the_artist,"['3D art', 'Digital art']"
136,warbb,"['3D art', 'NFT art', 'Video art']"
137,kkknight_artsss,"['3D art', 'Digital art', 'Graphic design', 'Illustration', 'Motion design', 'NFT art', 'Photography']"
138,n77,"['3D art', 'Digital art', 'NFT art', 'Photography']"
139,bavugar,"['3D art', 'Anime', 'Conceptual art', 'Curator', 'Digital art', 'Drawing', 'Illustration']"
140,pouya,"['3D art', 'Digital art', 'Drawing', 'Photography']"
141,viz,['3D art']
142,angelamantilla,"['3D art', 'Architecture', 'Digital art', 'Illustration', 'NFT art']"
143,diegomac,"['3D art', 'Animation', 'Dance', 'Digital art', 'Filmmaking', 'Kinetic sculpture', 'Motion design', 'NFT art', 'Performance art', 'Video art']"
144,miyomiyo_nft,['3D art']
145,thousand_words,"['3D art', 'Animation', 'Filmmaking', 'Land art', 'NFT art', 'Video art', 'Videography']"
146,niusha,"['3D art', 'Animation', 'Digital art', 'Fashion', 'Illustration', 'NFT art']"
147,bekarios,"['3D art', 'Abstract art', 'Drawing', 'Filmmaking', 'Graphic design', 'Motion design', 'Painting', 'Virtual reality']"
148,emgeedraw,"['3D art', 'Architecture', 'Digital art', 'NFT art', 'Sculpture']"
149,legend,"['3D art', 'Digital art', 'NFT art']"
150,soheilmn,"['3D art', 'Digital art', 'Illustration', 'Photography']"
151,neema,"['3D art', 'Digital art', 'NFT art', 'Photography', 'Video art', 'VJing']"
152,ardavan_,"['3D art', 'Animation', 'Music composition', 'Music production', 'NFT art']"
153,josuemoreno_art,"['3D art', 'Animation', 'Collage', 'Digital art', 'Photography']"
154,peng1,"['3D art', 'Abstract art', 'Animation', 'Conceptual art', 'Digital art', 'Drawing', 'Illustration', 'Motion design', 'NFT art']"
155,chrisland1405,"['3D art', 'Abstract art', 'Collage', 'Conceptual art', 'Digital art', 'Ephemera', 'NFT art', 'Poetry', 'Writing']"
